Consult,AI,ASR,Section,ROUGE-1-F,ROUGE-2-F,ROUGE-L-F,BERT-Score-F1-Raw,BERT-Score-F1,AI_Word_Count,Ref_Word_Count
1,GPT 3.5 Turbo,Whisper,S,0.4574468085106383,0.15053763440860218,0.3191489361702127,0.8576458096504211,0.15654081106185913,110,85
1,GPT 3.5 Turbo,Whisper,O,0.11764705882352941,0.0,0.11764705882352941,0.8430073261260986,0.06980670243501663,7,31
1,GPT 3.5 Turbo,Whisper,E,0.1,0.05263157894736842,0.1,0.8394415378570557,0.04867913946509361,13,30
1,GPT 3.5 Turbo,Whisper,P,0.28888888888888886,0.045454545454545456,0.19999999999999998,0.8372964859008789,0.03596954792737961,63,33
1,GPT 3.5 Turbo,Speechmatics,S,0.32653061224489793,0.08275862068965517,0.23129251700680276,0.8455261588096619,0.08473097532987595,69,85
1,GPT 3.5 Turbo,Speechmatics,O,0.15789473684210528,0.0,0.15789473684210528,0.8475853800773621,0.09693200886249542,11,31
1,GPT 3.5 Turbo,Speechmatics,E,0.23529411764705882,0.030303030303030304,0.17647058823529413,0.8319756984710693,0.004443483892828226,40,30
1,GPT 3.5 Turbo,Speechmatics,P,0.3448275862068965,0.10714285714285714,0.2758620689655172,0.8557625412940979,0.14538230001926422,28,33
1,GPT 3.5 Turbo,Google,S,0.5029239766081871,0.18934911242603553,0.3625730994152047,0.867035448551178,0.21217511594295502,89,85
1,GPT 3.5 Turbo,Google,O,0.11764705882352941,0.0,0.11764705882352941,0.8430073261260986,0.06980670243501663,7,31
1,GPT 3.5 Turbo,Google,E,0.2439024390243902,0.15384615384615385,0.2439024390243902,0.8470597863197327,0.0938178300857544,12,30
1,GPT 3.5 Turbo,Google,P,0.4210526315789474,0.1081081081081081,0.2894736842105263,0.8532639145851135,0.13057775795459747,47,33
1,GPT 3.5 Turbo,Kaldi_NL,S,0.42780748663101603,0.14054054054054055,0.320855614973262,0.8551254868507385,0.14160770177841187,111,85
1,GPT 3.5 Turbo,Kaldi_NL,O,0.11764705882352941,0.0,0.11764705882352941,0.8430073261260986,0.06980670243501663,7,31
1,GPT 3.5 Turbo,Kaldi_NL,E,0.2608695652173913,0.029850746268656716,0.14492753623188406,0.8245863318443298,-0.03933906555175781,43,30
1,GPT 3.5 Turbo,Kaldi_NL,P,0.35820895522388063,0.0,0.23880597014925375,0.8528767824172974,0.12828396260738373,36,33
1,Gemini 1.5 pro,Whisper,S,0.3724137931034483,0.12587412587412586,0.1793103448275862,0.8447650671005249,0.08022144436836243,62,85
1,Gemini 1.5 pro,Whisper,O,0.2325581395348837,0.0,0.2325581395348837,0.845203697681427,0.082820363342762,18,31
1,Gemini 1.5 pro,Whisper,E,0.15384615384615383,0.05405405405405405,0.15384615384615383,0.8525128960609436,0.1261279135942459,12,30
1,Gemini 1.5 pro,Whisper,P,0.05882352941176471,0.0,0.05882352941176471,,,3,33
1,Gemini 1.5 pro,Speechmatics,S,0.30666666666666664,0.0945945945945946,0.17333333333333337,0.8348585963249207,0.02152486890554428,68,85
1,Gemini 1.5 pro,Speechmatics,O,0.2,0.0,0.2,0.8333205580711365,0.012411877512931824,24,31
1,Gemini 1.5 pro,Speechmatics,E,0.2439024390243902,0.10256410256410257,0.2439024390243902,0.8453097343444824,0.08344864100217819,13,30
1,Gemini 1.5 pro,Speechmatics,P,0.05882352941176471,0.0,0.05882352941176471,,,3,33
1,Gemini 1.5 pro,Google,S,0.30136986301369867,0.08333333333333333,0.20547945205479454,0.8256372809410095,-0.03311211243271828,65,85
1,Gemini 1.5 pro,Google,O,0.10526315789473685,0.0,0.10526315789473685,0.8323122262954712,0.0064374362118542194,11,31
1,Gemini 1.5 pro,Google,E,0.15,0.05263157894736842,0.15,0.8518730401992798,0.12233671545982361,12,30
1,Gemini 1.5 pro,Google,P,0.3921568627450981,0.12244897959183672,0.3137254901960784,0.8518218994140625,0.12203370779752731,20,33
1,Gemini 1.5 pro,Kaldi_NL,S,0.2894736842105263,0.06666666666666668,0.15789473684210525,0.8347362875938416,0.020800180733203888,70,85
